Date,EUtranCell,PSData,Users,Vendor,region,PID
2019-01-08,LM0151008F1B,0.25,0.455,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-08,LM0151018F1A,13.16,13.991,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-08,LM0151018F1B,7.46,8.742,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-08,LM0151018F1C,21.66,21.22,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-08,LM0387008F1A,2.56,2.549,Huawei, Royal Hospital (IBS),M0387
2019-01-08,LM0387008F1C,0.38,0.556,Huawei, Royal Hospital (IBS),M0387
2019-01-08,LM0387018F1B,61.07,65.551,Huawei, Royal Hospital (IBS),M0387
2019-01-08,LM1043018F1A,48.47,54.613,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-08,LM1043018F1B,4.43,6.219,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-09,LM0136008F1A,3.06,2.416,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-09,LM0136008F1B,1.62,1.244,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-09,LM0136018F1C,7.16,8.586,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-09,LM0140008F1B,1.68,1.831,Huawei,SQU (Sultan Qaboos University),M0140
2019-01-09,LM0145008F1A,0.69,1.226,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-09,LM0145018F1A,1.68,3.445,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-09,LM0145018F1B,2.08,2.71,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-09,LM0145018F1C,2.63,2.179,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-09,LM0145026F1B,3.67,4.411,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-09,LM0150008F1C,5.95,7.736,Huawei,SQU (Sultan Qaboos University),M0150
2019-01-09,LM0151008F1A,1.4,0.793,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-09,LM0151008F1B,0.29,0.48,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-09,LM0151018F1A,10.5,13.117,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-09,LM0151018F1B,6.85,9.374,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-09,LM0151018F1C,18.69,20.578,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-09,LM0387008F1A,1.79,2.111,Huawei, Royal Hospital (IBS),M0387
2019-01-09,LM0387008F1C,0.71,0.466,Huawei, Royal Hospital (IBS),M0387
2019-01-09,LM0387018F1B,64.46,64.203,Huawei, Royal Hospital (IBS),M0387
2019-01-09,LM1043018F1A,56.45,58.088,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-09,LM1043018F1B,4.68,5.637,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-10,LM0136008F1A,1.22,1.798,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-10,LM0136008F1B,1.31,1.234,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-10,LM0136018F1C,8.62,8.628,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-10,LM0140008F1B,1.55,2.296,Huawei,SQU (Sultan Qaboos University),M0140
2019-01-10,LM0145008F1A,0.72,1.299,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-10,LM0145018F1A,1.93,2.67,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-10,LM0145018F1B,2.82,2.229,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-10,LM0145018F1C,1.24,1.646,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-10,LM0145026F1B,4.09,4.442,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-10,LM0150008F1C,9.05,7.18,Huawei,SQU (Sultan Qaboos University),M0150
2019-01-10,LM0151008F1A,1.73,0.836,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-10,LM0151008F1B,0.22,0.351,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-10,LM0151018F1A,16.31,12.516,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-10,LM0151018F1B,6.63,7.735,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-10,LM0151018F1C,21.95,19.943,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-10,LM0387008F1A,1.46,2.096,Huawei, Royal Hospital (IBS),M0387
2019-01-10,LM0387008F1C,0.59,0.461,Huawei, Royal Hospital (IBS),M0387
2019-01-10,LM0387018F1B,63.61,63.028,Huawei, Royal Hospital (IBS),M0387
2019-01-10,LM1043018F1A,52.04,52.19,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-10,LM1043018F1B,5.71,6.01,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-11,LM0136008F1A,0.13,0.291,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-11,LM0136008F1B,1.03,0.541,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-11,LM0136018F1C,6.28,4.165,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-11,LM0140008F1B,0.51,0.633,Huawei,SQU (Sultan Qaboos University),M0140
2019-01-11,LM0145008F1A,0.07,0.078,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-11,LM0145018F1A,0.62,0.453,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-11,LM0145018F1B,0.13,0.498,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-11,LM0145018F1C,0.38,0.4,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-11,LM0145026F1B,0.45,0.635,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-11,LM0150008F1C,5.08,4.689,Huawei,SQU (Sultan Qaboos University),M0150
2019-01-11,LM0151008F1A,1.13,0.484,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-11,LM0151008F1B,0.0,0.008,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-11,LM0151018F1A,9.9,9.327,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-11,LM0151018F1B,0.94,1.27,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-11,LM0151018F1C,15.66,12.729,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-11,LM0387008F1A,0.69,0.712,Huawei, Royal Hospital (IBS),M0387
2019-01-11,LM0387008F1C,0.09,0.157,Huawei, Royal Hospital (IBS),M0387
2019-01-11,LM0387018F1B,34.11,27.443,Huawei, Royal Hospital (IBS),M0387
2019-01-11,LM1043018F1A,21.62,18.569,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-11,LM1043018F1B,0.95,1.279,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-12,LM0136008F1A,0.18,0.367,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-12,LM0136008F1B,1.92,0.944,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-12,LM0136018F1C,4.77,4.682,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-12,LM0140008F1B,0.89,0.722,Huawei,SQU (Sultan Qaboos University),M0140
2019-01-12,LM0145008F1A,0.07,0.208,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-12,LM0145018F1A,0.98,0.831,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-12,LM0145018F1B,0.4,0.482,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-12,LM0145018F1C,0.29,0.272,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-12,LM0145026F1B,0.28,0.676,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-12,LM0150008F1C,8.53,8.318,Huawei,SQU (Sultan Qaboos University),M0150
2019-01-12,LM0151008F1A,0.89,0.795,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-12,LM0151008F1B,0.0,0.023,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-12,LM0151018F1A,11.03,11.605,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-12,LM0151018F1B,1.46,2.534,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-12,LM0151018F1C,14.16,13.267,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-12,LM0387008F1A,1.85,1.105,Huawei, Royal Hospital (IBS),M0387
2019-01-12,LM0387008F1C,0.11,0.138,Huawei, Royal Hospital (IBS),M0387
2019-01-12,LM0387018F1B,44.22,29.373,Huawei, Royal Hospital (IBS),M0387
2019-01-12,LM1043018F1A,18.23,18.842,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-12,LM1043018F1B,1.83,1.565,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-13,LM0136008F1A,2.07,2.627,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-13,LM0136008F1B,1.51,1.577,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-13,LM0136018F1C,7.33,9.746,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-13,LM0140008F1B,1.82,2.216,Huawei,SQU (Sultan Qaboos University),M0140
